id,carat,cut,color,clarity,depth,table,price
0,1.21,5,3,4,63.0,57.0,6134
1,0.28,3,7,6,64.0,56.0,532
2,0.42,4,5,5,61.2,58.0,1103
3,0.26,5,3,8,61.1,57.0,600
4,1.1,2,4,3,63.4,57.0,4997
5,0.35,5,5,3,62.2,56.0,583
6,0.31,5,2,4,62.3,54.0,452
7,0.43,4,3,3,60.2,57.0,919
8,0.51,4,2,2,60.4,59.0,956
9,1.22,5,2,5,61.9,55.7,6469
10,0.41,3,7,3,63.2,57.0,947
11,0.33,4,4,7,61.9,59.0,1114
12,0.93,5,2,3,62.5,55.0,3856
13,0.71,5,3,5,61.6,57.0,2175
14,0.47,5,4,6,62.2,53.0,1618
15,1.71,4,2,2,60.6,57.0,9760
16,0.33,3,6,6,60.1,63.0,981
17,1.26,3,4,3,61.7,60.0,6733
18,0.75,4,4,3,60.9,58.0,2631
19,0.76,3,3,3,61.4,57.0,2557
20,0.31,5,6,6,62.4,53.0,791
21,0.7,4,5,6,58.7,60.0,3062
22,0.3,5,7,6,61.6,57.0,814
23,0.28,5,5,5,60.2,56.0,598
24,0.9,5,6,4,62.7,56.0,4770
25,0.51,5,1,3,62.5,56.0,988
26,0.71,3,2,4,61.1,60.0,2384
27,0.57,5,3,7,60.9,56.0,1949
28,0.71,3,5,2,60.5,62.0,2138
29,0.72,3,6,3,63.3,56.0,3183
30,0.36,5,4,5,62.3,57.0,678
31,0.3,5,3,5,61.9,58.0,545
32,0.9,3,2,4,59.3,59.0,3992
33,0.7,2,7,7,59.2,59.0,4198
34,0.38,4,6,4,60.5,62.0,1112
35,0.67,1,2,4,57.2,70.0,1436
36,0.3,4,6,5,61.4,59.0,814
37,2.02,4,6,2,59.8,58.0,17825
38,2.0,4,4,2,61.1,60.0,13986
39,0.33,5,3,3,63.0,57.0,610
40,1.1,5,5,1,61.8,56.0,3745
41,0.56,3,6,4,61.7,56.0,1755
42,0.85,4,1,4,60.7,58.0,2295
43,0.93,2,1,3,63.7,54.0,2438
44,0.53,5,7,4,61.2,56.0,1857
45,0.4,3,4,7,60.9,57.0,1123
46,0.73,5,5,2,61.9,55.0,2588
47,1.14,4,2,3,62.2,58.0,4788
48,1.02,4,6,3,61.4,58.0,5956
49,1.2,5,4,5,62.6,54.3,8687
50,1.02,5,5,4,62.6,57.0,7632
51,1.02,4,7,6,61.4,58.0,10580
52,1.2,5,2,2,63.0,57.0,4596
53,1.0,2,6,3,59.8,65.0,4213
54,1.11,4,4,3,60.9,59.0,4096
55,0.39,4,5,5,60.6,55.0,1092
56,1.07,4,3,3,63.0,57.0,5465
57,1.14,3,2,4,62.5,59.0,4785
58,0.58,5,6,2,61.4,57.1,1392
59,1.5,2,4,2,64.3,57.0,8043
60,0.26,5,4,6,61.4,56.0,545
61,1.01,2,2,2,61.8,62.0,3399
62,0.4,5,5,5,61.1,56.0,1050
63,0.33,4,5,4,62.4,58.0,666
64,1.28,5,5,5,61.7,55.0,11580
65,0.75,5,7,4,62.4,55.0,3456
66,1.7,4,4,5,61.2,57.0,17492
67,1.02,5,7,3,62.8,56.0,6158
68,0.9,5,4,3,61.6,57.0,4001
69,0.83,4,5,4,62.0,59.0,3393
70,0.9,3,5,2,60.3,63.0,3630
71,0.32,3,4,4,60.9,58.0,564
72,1.05,2,6,5,63.1,59.0,7826
73,0.9,3,7,3,62.4,63.0,3997
74,0.71,5,6,2,62.3,57.0,2190
75,0.6,5,5,6,61.5,57.0,3196
76,1.23,3,1,6,61.2,57.0,5665
77,1.01,1,7,3,62.6,57.0,5628
78,0.7,1,5,5,65.8,59.0,2381
79,1.59,5,2,3,62.4,56.0,10106
80,0.35,3,4,8,62.2,58.0,1044
81,0.9,2,5,4,63.6,59.0,4234
82,2.0,1,5,2,70.2,57.0,15351
83,0.71,4,6,3,60.4,62.0,2441
84,0.26,3,5,7,60.8,58.0,679
85,0.53,5,5,4,61.2,56.0,1655
86,0.35,4,2,4,61.2,58.0,630
87,0.3,4,4,6,62.0,60.0,684
88,1.04,3,4,2,60.6,57.0,4703
89,0.23,3,5,7,62.3,55.0,583
90,1.03,4,5,5,61.8,59.0,7328
91,0.3,5,4,3,62.2,57.0,477
92,1.08,2,6,3,63.1,59.0,5096
93,1.53,5,2,2,61.3,59.0,8062
94,1.2,5,6,4,61.3,56.0,10214
95,0.71,5,6,3,60.8,57.0,3360
96,0.41,4,4,3,60.3,59.0,923
97,1.09,4,4,4,62.1,57.0,5098
98,0.7,2,5,3,61.1,61.0,2445
99,0.91,4,7,2,61.5,56.0,4051
100,1.07,3,7,8,60.9,58.0,18114
101,1.52,2,3,3,64.1,59.0,8915
102,0.81,2,5,3,64.3,53.0,2718
103,0.5,3,5,3,62.8,56.0,1250
104,0.35,3,3,6,63.0,55.0,706
105,0.7,3,4,5,60.1,60.0,3017
106,0.34,4,3,3,60.2,58.0,477
107,0.71,5,6,3,60.5,56.0,3527
108,0.31,5,6,4,61.7,55.0,872
109,0.55,4,6,4,61.5,56.0,1881
110,1.05,5,4,4,61.9,56.0,6604
111,0.32,4,3,3,60.9,60.0,461
112,0.3,5,6,6,61.5,58.0,766
113,0.7,3,3,2,61.6,56.1,2306
114,0.9,3,3,2,62.8,57.0,3160
115,0.32,3,5,6,61.8,60.0,786
116,1.12,5,7,4,62.0,55.0,8279
117,0.72,3,4,4,63.3,57.0,2477
118,0.7,5,6,3,62.2,57.0,2542
119,0.3,3,5,4,62.9,57.0,605
120,0.5,5,5,6,59.9,58.0,2016
121,1.5,4,7,2,58.7,57.0,9173
122,0.55,3,6,6,60.6,56.0,2499
123,0.53,2,6,2,63.0,60.0,1127
124,1.0,2,5,3,63.3,61.0,4712
125,0.74,3,7,4,62.4,57.0,2906
126,0.5,5,7,3,60.9,57.0,1563
127,0.34,4,3,5,62.2,58.0,765
128,1.33,4,3,3,61.9,58.0,7302
129,0.58,4,6,3,62.1,58.0,1812
130,0.32,5,5,5,62.0,54.0,876
131,1.0,4,6,2,62.8,59.0,4200
132,0.33,4,6,5,61.0,55.0,1069
133,1.03,5,5,6,62.0,56.0,9245
134,0.72,4,4,6,61.6,58.0,2720
135,0.7,4,3,5,60.6,59.0,2636
136,0.39,3,4,3,62.5,55.0,694
137,0.71,5,7,3,60.2,56.0,2822
138,0.71,3,7,2,60.2,58.0,2519
139,1.53,5,3,6,61.9,57.0,12848
140,1.0,3,5,4,61.1,60.0,6619
141,0.39,3,4,5,61.7,62.0,741
142,0.4,2,7,4,63.2,57.0,786
143,1.01,3,5,2,59.5,57.0,3709
144,1.01,2,5,6,63.6,60.0,6932
145,1.14,5,3,2,62.6,57.0,4788
146,0.51,5,5,4,62.9,57.0,1687
147,1.5,5,3,4,62.2,57.0,10692
148,0.75,5,7,2,60.3,57.0,2726
149,0.31,5,4,4,61.4,56.0,698
150,0.97,5,6,2,62.3,56.0,4078
151,0.9,3,5,4,61.7,57.0,4493
152,0.3,4,3,8,60.4,60.0,1013
153,0.9,4,2,2,62.5,58.0,2948
154,1.0,4,3,2,60.0,62.0,3584
155,0.3,5,7,3,62.2,55.0,709
156,1.02,5,6,4,61.0,56.0,8225
157,0.9,2,7,3,63.6,63.0,3755
158,1.55,3,4,3,59.2,59.0,10707
159,0.68,2,4,7,61.9,55.0,3225
160,0.4,3,6,3,63.3,56.0,882
161,0.51,4,3,2,62.9,56.0,1125
162,2.32,4,1,2,59.0,59.0,14666
163,0.31,5,3,3,61.2,58.0,417
164,1.1,5,3,5,61.4,57.0,6470
165,1.0,4,5,1,62.4,59.0,3405
166,0.72,3,7,2,61.3,59.0,2692
167,0.38,5,4,3,61.6,54.0,710
168,1.22,3,3,3,62.4,57.0,6323
